date,value
1999-03-01,99.5249929200462
1999-04-01,99.7076049778336
1999-05-01,99.8938827463988
1999-06-01,100.063011432615
1999-07-01,100.192493063742
1999-08-01,100.258079645676
1999-09-01,100.24451333681
1999-10-01,100.162600557579
1999-11-01,100.040820372855
1999-12-01,99.9205340034176
2000-01-01,99.827484866866
2000-02-01,99.775834676945
2000-03-01,99.7514879318941
2000-04-01,99.73282039369
2000-05-01,99.6937510574418
2000-06-01,99.6172435432143
2000-07-01,99.4906969269062
2000-08-01,99.3290050110578
2000-09-01,99.1497666987399
2000-10-01,98.9864335851899
2000-11-01,98.8622465800107
2000-12-01,98.780454167205
2001-01-01,98.7277418586613
2001-02-01,98.6920427982232
2001-03-01,98.6647552904163
2001-04-01,98.6248238432142
2001-05-01,98.5442382152939
2001-06-01,98.4135620845763
2001-07-01,98.2283132152792
2001-08-01,98.0206626091444
2001-09-01,97.8397847372715
2001-10-01,97.720021380663
2001-11-01,97.6856554519048
2001-12-01,97.7442254839725
2002-01-01,97.8792251667265
2002-02-01,98.0993926224452
2002-03-01,98.3877201688605
2002-04-01,98.711129262091
2002-05-01,99.0432954712814
2002-06-01,99.3682819530032
2002-07-01,99.6736365160096
2002-08-01,99.9301291322837
2002-09-01,100.129872351852
2002-10-01,100.278679213645
2002-11-01,100.393445195829
2002-12-01,100.488483613779
2003-01-01,100.580693203913
2003-02-01,100.67471059287
2003-03-01,100.75591167317
2003-04-01,100.814808103921
2003-05-01,100.849624038442
2003-06-01,100.859123181234
2003-07-01,100.8551522268
2003-08-01,100.857085948682
2003-09-01,100.88336053129
2003-10-01,100.943945620681
2003-11-01,101.041848437905
2003-12-01,101.15977857377
2004-01-01,101.263211180466
2004-02-01,101.292879175057
2004-03-01,101.20800907128
2004-04-01,101.015761135493
2004-05-01,100.760315826889
2004-06-01,100.504415656947
2004-07-01,100.297626214189
2004-08-01,100.149548655717
2004-09-01,100.042923674075
2004-10-01,99.9566471404953
2004-11-01,99.880159267973
2004-12-01,99.8048678617646
2005-01-01,99.7330049849854
2005-02-01,99.6728555886873
2005-03-01,99.6365673458216
2005-04-01,99.6332063232289
2005-05-01,99.6529285661123
2005-06-01,99.69051960605
2005-07-01,99.7303825136116
2005-08-01,99.7549767407893
2005-09-01,99.7572445645923
2005-10-01,99.7506068790719
2005-11-01,99.7500162572914
2005-12-01,99.772103634155
2006-01-01,99.8205920888366
2006-02-01,99.8911244050728
2006-03-01,99.9758950923781
2006-04-01,100.077212049472
2006-05-01,100.190180538965
2006-06-01,100.307708855415
2006-07-01,100.428783463589
2006-08-01,100.586285174729
2006-09-01,100.819930985799
2006-10-01,101.14928662548
2006-11-01,101.569253778368
2006-12-01,102.060852394127
2007-01-01,102.60436068232
2007-02-01,103.175426579728
2007-03-01,103.76054709901
2007-04-01,104.350652530086
2007-05-01,104.914874178453
2007-06-01,105.428980293429
2007-07-01,105.88930300071
2007-08-01,106.27847805729
2007-09-01,106.500955166732
2007-10-01,106.439644567886
2007-11-01,106.041748963523
2007-12-01,105.336368976421
2008-01-01,104.375636361072
2008-02-01,103.232651003258
2008-03-01,101.988714750078
2008-04-01,100.697235740844
2008-05-01,99.398576126399
2008-06-01,98.1137604601803
2008-07-01,96.8631862698558
2008-08-01,95.6918974931659
2008-09-01,94.6721114378604
2008-10-01,93.8920045526917
2008-11-01,93.4365331684945
2008-12-01,93.3455876868222
2009-01-01,93.6076514652825
2009-02-01,94.1695078359735
2009-03-01,94.9593518817698
2009-04-01,95.9152346474374
2009-05-01,96.9787825820589
2009-06-01,98.0797284958313
2009-07-01,99.1364269194171
2009-08-01,100.066962006813
2009-09-01,100.839235032696
2009-10-01,101.451613025092
2009-11-01,101.897077011818
2009-12-01,102.157639234447
2010-01-01,102.226713968369
2010-02-01,102.128899595821
2010-03-01,101.902551101384
2010-04-01,101.580779743814
2010-05-01,101.208497147514
2010-06-01,100.85352379996
2010-07-01,100.581888207016
2010-08-01,100.433252688005
2010-09-01,100.413808763968
2010-10-01,100.501769518502
2010-11-01,100.650778419469
2010-12-01,100.81991408356
2011-01-01,100.985531144943
2011-02-01,101.129571331149
2011-03-01,101.234456114779
2011-04-01,101.281347852285
2011-05-01,101.259573315108
2011-06-01,101.161313565018
2011-07-01,100.994181692064
2011-08-01,100.771007970767
2011-09-01,100.523879875664
2011-10-01,100.275207525181
2011-11-01,100.054363237165
2011-12-01,99.8830586569607
2012-01-01,99.7733960367302
2012-02-01,99.7061591828744
2012-03-01,99.6515894168192
2012-04-01,99.6096781836438
2012-05-01,99.5923771373934
2012-06-01,99.6005178045039
2012-07-01,99.6327656119649
2012-08-01,99.6913096558127
2012-09-01,99.7818573949945
2012-10-01,99.9173159882828
2012-11-01,100.096628846047
2012-12-01,100.311409208338
2013-01-01,100.539431203903
2013-02-01,100.736162835846
2013-03-01,100.883172698303
2013-04-01,100.980060495095
2013-05-01,101.044197938319
2013-06-01,101.097666704077
2013-07-01,101.149916942293
2013-08-01,101.200647721529
2013-09-01,101.236484938506
2013-10-01,101.240838397896
2013-11-01,101.198430966657
2013-12-01,101.10494276873
2014-01-01,100.963417401878
2014-02-01,100.79725731289
